"Codigo";"Descripcion";"Clasificador";"Indice_IPC";"v_m_IPC";"v_i_a_IPC";"Region";"Periodo_codificado"
Regulados;Na;Categorias;106.1556;6.20;0.00;Patagonia;Enero - 2017
Regulados;Na;Categorias;101.8183;1.80;0.00;Nacional;Enero - 2017
B;Na;Bienes y servicios;101.0205;1.00;0.00;GBA;Enero - 2017
B;Na;Bienes y servicios;101.3226;1.30;0.00;Pampeana;Enero - 2017
B;Na;Bienes y servicios;101.4038;1.40;0.00;Noreste;Enero - 2017
B;Na;Bienes y servicios;101.2813;1.30;0.00;Noroeste;Enero - 2017
B;Na;Bienes y servicios;101.3682;1.40;0.00;Cuyo;Enero - 2017
B;Na;Bienes y servicios;101.3114;1.30;0.00;Patagonia;Enero - 2017
B;Na;Bienes y servicios;101.1903;1.20;0.00;Nacional;Enero - 2017
S;Na;Bienes y servicios;101.7397;1.70;0.00;GBA;Enero - 2017
S;Na;Bienes y servicios;102.8784;2.90;0.00;Pampeana;Enero - 2017
S;Na;Bienes y servicios;102.5939;2.60;0.00;Noreste;Enero - 2017
S;Na;Bienes y servicios;102.5706;2.60;0.00;Noroeste;Enero - 2017
S;Na;Bienes y servicios;102.5472;2.50;0.00;Cuyo;Enero - 2017
S;Na;Bienes y servicios;105.6557;5.70;0.00;Patagonia;Enero - 2017
S;Na;Bienes y servicios;102.4355;2.40;0.00;Nacional;Enero - 2017
0;Nivel general;Nivel general y divisiones COICOP;103.8085;2.50;0.00;GBA;Febrero - 2017
0;Nivel general;Nivel general y divisiones COICOP;103.5312;1.70;0.00;Pampeana;Febrero - 2017
0;Nivel general;Nivel general y divisiones COICOP;103.4617;1.80;0.00;Noreste;Febrero - 2017
0;Nivel general;Nivel general y divisiones COICOP;103.7115;2.10;0.00;Noroeste;Febrero - 2017
0;Nivel general;Nivel general y divisiones COICOP;103.2652;1.50;0.00;Cuyo;Febrero - 2017
0;Nivel general;Nivel general y divisiones COICOP;104.2827;1.70;0.00;Patagonia;Febrero - 2017
0;Nivel general;Nivel general y divisiones COICOP;103.6859;2.10;0.00;Nacional;Febrero - 2017
01;Alimentos y bebidas no alcohólicas;Nivel general y divisiones COICOP;103.1646;1.80;0.00;GBA;Febrero - 2017
01;Alimentos y bebidas no alcohólicas;Nivel general y divisiones COICOP;103.0905;1.70;0.00;Pampeana;Febrero - 2017
01;Alimentos y bebidas no alcohólicas;Nivel general y divisiones COICOP;103.3712;1.60;0.00;Noreste;Febrero - 2017
01;Alimentos y bebidas no alcohólicas;Nivel general y divisiones COICOP;103.8789;2.80;0.00;Noroeste;Febrero - 2017
01;Alimentos y bebidas no alcohólicas;Nivel general y divisiones COICOP;103.2726;1.80;0.00;Cuyo;Febrero - 2017
01;Alimentos y bebidas no alcohólicas;Nivel general y divisiones COICOP;102.2499;1.30;0.00;Patagonia;Febrero - 2017
01;Alimentos y bebidas no alcohólicas;Nivel general y divisiones COICOP;103.1605;1.80;0.00;Nacional;Febrero - 2017
02;Bebidas alcohólicas y tabaco;Nivel general y divisiones COICOP;105.4806;5.00;0.00;GBA;Febrero - 2017
02;Bebidas alcohólicas y tabaco;Nivel general y divisiones COICOP;105.2329;3.90;0.00;Pampeana;Febrero - 2017
